Area;Nome;Perimetro;CodiceWGI;Regione;Codice;Triangulation Area;Flat Triangulation Area;Map Area;Area Ratio;Map Area Ratio;Fourier H;DFA H;Height Stdev;Higuchi H (paper)
56674;Cima di Rosso Sud Est;1616;I4L01122016;Lombardia;423.0;68114.45272364607;61438.03616887621;51575.0;1.1086691074633022;1.320687401330995;0.5329678016746373;1.3970961831010345;69.73506614224354;
602046;Sissone;3776;I4L01122015;Lombardia;422.0;707431.060804455;651736.6084633514;589350.0;1.0854554610219282;1.2003581247212267;0.5422858489410199;0.8178486969385428;93.73304555135954;0.7773021149338062
121839;Passo di Chiareggio;1766;I4L01122014;Lombardia;421.0;148697.87755535427;135991.1026372284;115700.0;1.0934382814147967;1.2852020532009876;0.6545004653140001;0.7779203228665998;91.9701109514184;0.8875718751302883
70234;Punta Baroni;1190;I4L01122013;Lombardia;420.0;90494.20198379668;74906.97545092198;65950.0;1.2080877840687512;1.3721637905048776;0.5948315003872502;-1.1484231569172194;61.621447670573616;
2250801;Disgrazia;10716;I4L01122012;Lombardia;419.0;2598767.618701184;2404462.481737096;2215337.5;1.0808102178511487;1.1730797761971636;0.6185695155311624;0.8444718639158308;173.35523779662518;0.7595918398305146
105580;Pizzo Ventina;1477;I4L01122011;Lombardia;418.0;116715.55774591868;110838.6643133886;100625.0;1.0530220520874702;1.1599061639345958;0.6064429039074308;0.7874080934782515;39.69222205174986;0.9091564986196095
352559;Canalone della Vergine;4684;I4L01122010;Lombardia;417.0;396148.4230518689;380780.2996888236;337200.0;1.040359554776348;1.1748173874610583;0.6400949916471432;0.7044788647469611;127.36018238467095;0.8262972585637558
1890923;Ventina;15756;I4L01122009;Lombardia;416.0;2099877.2637777417;2025628.1477356616;1838737.5;1.0366548599381773;1.1420212312947022;0.5878638783585448;0.9197954958908896;300.2965535283942;0.7329136239690053
39228;Pizzo Rachele;1014;I4L01122008;Lombardia;415.0;48569.74759276124;44065.790975721335;35912.5;1.1022098212085067;1.3524468525655755;0.5847986127393485;0.8162986607186137;45.143703174757526;
44769;Sessersa;1108;I4L01122005;Lombardia;412.0;46745.67158956661;45129.18357530215;40850.0;1.0358191282491784;1.1443248859135031;0.5602625229919149;0.6858730436945338;36.76791983095667;
33896;Cassandra Superiore;1520;I4L01122004;Lombardia;411.1;35030.601515295915;33825.15891585997;28950.0;1.0356374556120929;1.2100380488875964;0.5357960973047999;-0.08018445990261644;36.89324550338848;
228858;Cassandra Est;3033;I4L01122003;Lombardia;411.0;258276.0458683801;242011.4748250425;219550.0;1.0672057845814782;1.1763882754196315;0.5245077738626382;0.5676637284943392;95.04177097277493;0.8515365700064916
578946;Preda Rossa;5722;I4L01104034;Lombardia;408.0;621587.3539389631;599450.2700746947;560250.0;1.0369289747112969;1.1094821132333121;0.2284622703059124;1.1387323433739027;197.13770084245442;0.9068410183374263
46255;Corna Rossa;1625;I4L01104035;Lombardia;409.0;50669.28463235126;48744.36338864878;40900.0;1.0394901299326589;1.2388578149719134;0.5085899502597477;0.9409048000513768;61.04273579166172;0.9220316925653458
19083;Cassandra Ovest;652;I4L01122002;Lombardia;410.0;19644.37715697125;18843.290321932647;17162.5;1.0425131079207637;1.144610467995412;0.3746948582749777;0.3785796709378492;23.848058582452254;
13799;Corni Bruciati I;477;-;Lombardia;409.1;14757.91031268525;13948.825225799825;12087.5;1.0580038156467066;1.220923293707156;0.6112019445523271;;18.133148904095343;
21379;Corni Bruciati II;571;-;Lombardia;409.2;23660.906017668487;22372.51749877561;19512.5;1.0575879991584938;1.2126024864916585;0.7858381058180108;0.2844163882481421;26.492437848378053;
12994;Cima di Val Bona Nord;594;I4L01122019;Lombardia;426.0;14606.045232928689;14233.036715501103;10687.5;1.026207233556936;1.366647507174614;0.5552101454089831;;36.4658970625233;
1480075;Pizzo Scalino;8829;I4L01123015;Lombardia;443.0;1524441.351557326;1476551.1675779326;1425737.5;1.0324338126784665;1.0692300311644505;0.6186351223076016;1.199953699170577;100.45719049175308;0.8503684825238884
32079;Pizzo Painale Nord Ovest;1020;I4L01121002;Lombardia;445.0;35895.171909151984;35177.9483182429;28512.5;1.0203884429080574;1.2589275549023058;0.6438855244212491;1.0799750889458857;43.192442525571614;
10040;Pizzo Painale Nord Est;511;I4L01131005;Lombardia;455.0;12005.695396094108;10726.308907503757;8350.0;1.1192755587800889;1.437807831867558;0.43775406648903625;;31.04301094936203;
52671;Pizzo Painale Sud Ovest;947;I4L01121003;Lombardia;446.0;57043.19817450215;54800.609773589735;49187.5;1.0409226906448257;1.1597092386175791;0.6275296644369996;0.8158435021316017;34.48184058040312;
12989;Corti;1365;I4L01121006;Lombardia;449.0;11991.136457446806;10182.573057700412;8300.0;1.1776135942750439;1.4447152358369646;0.33328362083316976;;33.62932287673566;0.24814482054715414
